"results_id","report_id","year","farm_area","lineitem_code","co2_dir_emissions_diesel_kgco2e","co2_dir_emissions_electricity_kgco2e","co2_dir_emissions_other_fuels_kgco2e","co2_dir_emissions_renewable_electricity_kgco2e","co2_dir_emissions_renewable_heat_kgco2e","co2_direct_co2_kgco2e","co2_dir_ind_emissions_fertiliser_kgco2e","co2_dir_ind_emissions_lime_kgco2e","co2_dir_ind_emissions_biochar_kgco2e","co2_dir_ind_emissions_feed_kgco2e","co2_dir_ind_emissions_bedding_kgco2e","co2_dir_ind_emissions_pesticides_kgco2e","co2_dir_ind_emissions_waste_kgco2e","co2_dir_ind_emissions_refrigerant_losses_kgco2e","co2_dir_ind_emissions_disposal_of_carcasses_kgco2e","co2_dir_ind_emissions_transport_kgco2e","co2_indirect_co2_kgco2e","co2_indirect_co2_kgco2e_sc","co2_total_from_energy_use_kgco2e","co2_total_from_energy_use_kgco2e_sc","methane_enteric_fermentation_feed_digestion_kgco2e","methane_enteric_manure_mgmt_kgco2e","methane_total_kgco2e","nitrous_oxide_vol_inorganic_and_imp_org_man_soil_kgco2e","nitrous_oxide_vol_grazing_dep_man_mgmt_org_man_soil_kgco2e","nitrous_oxide_veg_crop_n_residues_kgco2e","nitrous_oxide_total_kgco2e","carbon_seq_soil_carbon_kgco2e","carbon_seq_biochar_kgco2e","carbon_seq_total_kgco2e","total_co2e_emissions_from_farming_kgco2e","total_co2e_emissions_from_farming_kgco2e_sc","emissions_per_unit_of_output_kgco2e_kg_output","emissions_per_unit_of_output_kgco2e_kg_output_sc","farm_and_enterprise_output_kg","sequestration_by_forestry","sequestration_by_hedges","energy_offset_renewables","net_emissions_from_land_use","net_emissions_from_land_use_sc","emissions_meat_kgco2e","emissions_meat_kgco2e_sc","emissions_wool_kgco2e","emissions_wool_kgco2e_sc","emissions_milk_kgco2e","emissions_milk_kgco2e_sc","emissions_eggs_kgco2e","emissions_eggs_kgco2e_sc","emissions_crop_kgco2e","emissions_crop_kgco2e_sc","emissions_straw_kgco2e","emissions_straw_kgco2e_sc","emissions_per_lu_equivalent_kgco2e_lu","emissions_per_lu_equivalent_kgco2e_lu_sc","emissions_per_unit_of_output_kg_lwt_kgco2e_kg_output","emissions_per_unit_of_output_kg_lwt_kgco2e_kg_output_sc","emissions_per_unit_of_output_kg_dwt_kgco2e_kg_output","emissions_per_unit_of_output_kg_dwt_kgco2e_kg_output_sc","emissions_per_unit_of_output_kg_milk_solids_kgco2e_kg_output","emissions_per_unit_of_output_kg_milk_solids_kgco2e_kg_output_sc","emissions_per_unit_of_output_kg_eggs_kgco2e_kg_output","emissions_per_unit_of_output_kg_eggs_kgco2e_kg_output_sc","emissions_per_unit_of_output_kg_wool_kgco2e_kg_output","emissions_per_unit_of_output_kg_wool_kgco2e_kg_output_sc","emissions_per_unit_of_output_kg_straw_kgco2e_kg_output","emissions_per_unit_of_output_kg_straw_kgco2e_kg_output_sc","emissions_per_adjusted_hectare_kgco2e_ha","emissions_per_adjusted_hectare_kgco2e_ha_sc"
"31028705","30429",2022,0,"WHOLE_FARM",153424.971804,92098.96542,17158.0162984,0,0,262681.9535224,97916.5785,0,0,1402490.73,128851.9,216.4920895,1630.3728,0,10375.95,0,1641482.0233895,1641482.0233895,1904163.9769119,1904163.9769119,2649401.1746567,1261062.3485177,3910463.5231744,40639.909406269,658048.55537025,98143.952986138,796832.41776266,-42524.828014385,0,-42524.828014385,6598295.1178489,6555770.2898345,1.4903127732956,1.4807079748984,4427456.595744,417740.4,13164.8,0,6180554.7178489,6138029.8898345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14124.574800062,14033.544450036
"31028706","30429",2022,0,"BEEF",16631.705844,0,0,0,0,16631.705844,0,0,0,27026.55,726,0,318.864,0,75.66,0,28147.074,28147.074,44778.779844,44778.779844,53753.492799765,1605.1856159808,55358.678415746,0,5626.9973392228,0,5626.9973392228,0,0,0,105764.45559897,105764.45559897,0,0,4558,0,0,0,0,0,105764.45559897,105764.45559897,0,0,0,0,0,0,0,0,0,0,10544.811126517,10544.811126517,12.298192511508,12.298192511508,23.204136814166,23.204136814166,0,0,0,0,0,0,0,0,0,0
"31028707","30429",2022,0,"SHEEP",10150.80860352,0,9259.720481152,0,0,19410.529084672,5913.6272799807,0,0,30120,0,1.183507628776,33.6,0,506.415,0,36574.825787609,36574.825787609,55985.354872281,55985.354872281,474336.76026951,12284.339225881,486621.09949539,2658.7923356227,133261.38579411,629.18562304468,136549.36375278,133535.41237431,0,133535.41237431,676888.26016428,810423.67253859,0,0,27670.25,0,2267.5579561719,0,0,0,643591.90044157,770558.6612558,33296.359722704,39865.011282794,0,0,0,0,0,0,0,0,5222.9032420083,6253.2690782299,11.882062225451,14.22613608891,26.404582723225,31.613635753133,0,0,0,0,10.102050886743,12.094967015411,0,0,9168.5449731944,10977.300577215
"31028708","30429",2022,0,"DAIRY",124828.62086448,21084.80154,5396.114415648,0,0,151309.53682013,92002.951220019,0,0,1121892.18,99085.9,215.30858187122,1201.2,0,3161.925,0,1317559.4648019,1317559.4648019,1468869.001622,1468869.001622,1989023.7337134,419080.16490506,2408103.8986185,37981.117070646,380153.08928023,97514.767363094,515648.97371397,-176060.2403887,0,-176060.2403887,4381848.410885,4205788.1704963,0,0,3794692.975744,0,10773.463069445,0,0,0,120624.57285832,115777.94438038,0,0,4261223.8380267,4090010.2261159,0,0,0,0,0,0,8999.2670352448,8637.6814738613,2.3188114736317,2.2256429138866,4.3751159879844,4.1993262526162,1.1311615108296,1.085712068302,0,0,0,0,0,0,12492.341721159,11990.406355029
"31028709","30429",2022,0,"PIGS",1813.836492,71014.16388,2502.1814016,0,0,75330.1817736,0,0,0,223452,29040,0,76.7088,0,6631.95,0,259200.6588,259200.6588,334530.8405736,334530.8405736,132287.18787403,828092.65877075,960379.84664478,0,139007.08295668,0,139007.08295668,0,0,0,1433917.7701751,1433917.7701751,0,0,600535.37,0,0,0,0,0,1433917.7701751,1433917.7701751,0,0,0,0,0,0,0,0,0,0,0,0,1.7693099297727,1.7693099297727,2.3877324164521,2.3877324164521,0,0,0,0,0,0,0,0,0,0
"31028710","30429",2022,0,"POULTRY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31028711","30429",2022,0,"FORAGE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31028712","30429",2022,0,"G5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31028713","30429",2022,0,"G6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31028714","30429",2022,0,"F1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
